Latitude,Longitude,Bath,Bed,Price,Postal,Crime,MedIncome,School,Sqft_Area,Lot_Area,SchoolDist,Property_Address,Zestimate,Date_Sold,Locality,Region,Built_Year,Price_Sqft,Envi,Age,TranEnvi,TransDist,SchoolType,SchoolTSRatio,SchoolRating,MedAge,Population,College.Graduates,Rank
47.503505,-122.257553,2,4,228000,98178,356,60190,2,2530,6098,0.830597465,5945 S Eastwood Dr,272K,5/9/2014,Seattle,WA,1965,90,1,49,0,Inf,7,23,NA,38,21860,23.15,7537
47.503505,-122.383633,2,4,680000,98146,273,53346,1,2260,6200,0.831900084,3956 SW Arroyo Dr,636K,6/30/2014,Seattle,WA,1954,300,0,60,0,Inf,8,19,5,38.3,25574,20.58,9082
47.503534,-122.255014,3,3,301350,98178,341,60190,1,2080,7405,0.893441526,10744 62nd Ave S,274K,5/27/2014,Seattle,WA,1954,144,1,60,0,Inf,7,23,NA,38,21860,23.15,7537
47.503607,-122.255259,2,3,271000,98178,348,60190,1,1900,7560,0.878152375,10736 62nd Ave S,265K,7/31/2013,Seattle,WA,1954,142,1,60,0,Inf,7,23,NA,38,21860,23.15,7537
47.503678,-122.253513,2,4,206250,98178,333,60190,1,1820,7405,0.934947869,10741 63rd Ave S,245K,2/28/2014,Seattle,WA,1954,113,1,60,0,Inf,7,23,NA,38,21860,23.15,7537
47.503795,-122.376427,1.75,4,380000,98146,340,53346,3,1500,6630,0.704337865,11027 35th Ave SW,411K,4/10/2014,Seattle,WA,1950,253,0,64,0,Inf,8,19,5,38.3,25574,20.58,9082
47.503858,-122.252316,1,2,240000,98178,330,60190,2,1050,7200,0.942013197,10751 Renton Ave S,227K,4/18/2014,Seattle,WA,1954,228,1,60,0,Inf,8,18,1,38,21860,23.15,7537
47.503873,-122.266026,2,3,225000,98178,385,60190,2,2090,8345,0.879304295,5332 S Fountain St,257K,7/31/2014,Seattle,WA,1931,107,1,83,0,Inf,7,23,NA,38,21860,23.15,7537
47.503998,-122.266906,2.5,5,327500,98178,391,60190,2,3250,10890,0.902147749,5312 S Fountain St,350K,2/26/2014,Seattle,WA,1966,100,1,48,0,Inf,7,23,NA,38,21860,23.15,7537
47.50401,-122.259841,2,3,285000,98178,373,60190,2,2110,6969,0.75004962,10727 59th Ave S,259K,9/2/2014,Seattle,WA,1955,135,1,59,0,Inf,7,23,NA,38,21860,23.15,7537
47.504203,-122.264493,2,4,182500,98178,390,60190,2,2470,7426,0.794787647,10720 55th Ave S,272K,7/7/2014,Seattle,WA,1951,73,1,63,0,Inf,7,23,NA,38,21860,23.15,7537
47.504236,-122.382272,2.75,4,625000,98146,306,53346,1,3855,15246,0.712510978,10957 39th Ave SW,857K,5/2/2014,Seattle,WA,1965,162,0,49,0,Inf,8,19,5,38.3,25574,20.58,9082
47.50426,-122.252749,1.5,3,195000,98178,337,60190,2,1360,7440,0.91535399,10735 Renton Ave S,224K,1/11/2013,Seattle,WA,1954,143,1,60,0,Inf,7,23,NA,38,21860,23.15,7537
47.50435,-122.375621,2,3,377000,98146,354,53346,3,1340,9900,0.658880191,11008 35th Ave SW,396K,10/11/2013,Seattle,WA,1957,281,0,57,0,Inf,8,19,5,38.3,25574,20.58,9082
47.504407,-122.262529,1,2,121900,98178,384,60190,2,820,21780,0.725828772,10710 56th Ave S,210K,4/15/2013,Seattle,WA,1928,148,1,86,0,Inf,7,23,NA,38,21860,23.15,7537
47.504432,-122.26067,2,3,209000,98178,382,60190,2,1140,9888,0.703227791,10714 57th Ave S,210K,8/21/2013,Seattle,WA,1981,183,1,33,0,Inf,7,23,NA,38,21860,23.15,7537
47.504442,-122.265248,1.5,3,120000,98178,394,60190,2,960,7361,0.79567216,10711 55th Ave S,195K,9/23/2013,Seattle,WA,1955,125,1,59,0,Inf,7,23,NA,38,21860,23.15,7537
47.50446,-122.251404,3,2,227000,98178,331,60190,2,2437,7405,0.920189299,10729 66th Ave S,302K,4/5/2013,Seattle,WA,1955,93,1,59,0,Inf,8,18,1,38,21860,23.15,7537
47.50449,-122.380119,2,3,305000,98146,324,53346,1,1490,6450,0.631613055,11002 Marine View Dr SW,412K,2/28/2014,Seattle,WA,1949,204,0,65,0,Inf,8,19,5,38.3,25574,20.58,9082
47.504651,-122.256457,1,2,270000,98178,374,60190,2,1500,7020,0.735461019,6112 S Hazel St,216K,6/6/2013,Seattle,WA,1954,180,1,60,0,Inf,7,23,NA,38,21860,23.15,7537
47.505041,-122.38448,2.5,4,662500,98146,328,53346,1,2450,9240,0.728018011,4201 SW 109th St,774K,9/16/2013,Seattle,WA,1957,270,0,57,0,Inf,8,19,5,38.3,25574,20.58,9082
47.505052,-122.257945,1.75,3,345100,98178,381,60190,2,2720,8712,0.656722551,10636 60th Ave S,332K,7/1/2014,Seattle,WA,1959,126,1,55,0,Inf,7,23,NA,38,21860,23.15,7537
47.505121,-122.269001,2,5,234000,98178,405,60190,2,2180,7200,0.907824586,5124 S Hazel St,263K,12/19/2013,Seattle,WA,1962,107,1,52,0,Inf,7,23,NA,38,21860,23.15,7537
47.505136,-122.371472,3,5,549900,98146,391,53346,5,2420,7015,0.58815202,3015 SW 109th St,604K,5/21/2014,Seattle,WA,1979,227,0,35,0,Inf,2,10,NA,38.3,25574,20.58,9082
47.505234,-122.257943,2.5,4,299990,98178,381,60190,2,2680,6534,0.637261597,10628 60th Ave S,301K,9/23/2013,Seattle,WA,1965,111,2,49,0,Inf,7,23,NA,38,21860,23.15,7537
47.505284,-122.376766,3.25,3,477590,98146,362,53346,3,2260,7701,0.53696115,10839 35th Ave SW,603K,8/6/2014,Seattle,WA,2000,211,0,14,0,Inf,8,19,5,38.3,25574,20.58,9082
47.505469,-122.389101,3.5,4,885000,98146,279,53346,1,2395,20037.6,0.963577032,10835 Arroyo Beach Pl SW,992K,9/27/2013,Seattle,WA,1999,369,0,15,0,Inf,8,19,5,38.3,25574,20.58,9082
47.505604,-122.381927,2,3,639000,98146,357,53346,1,2450,10018,0.565666806,3905 SW 109th St,670K,12/27/2013,Seattle,WA,1947,260,0,67,0,Inf,8,19,5,38.3,25574,20.58,9082
47.505615,-122.258631,3,4,380500,98178,393,60190,2,2150,10700,0.583711873,10615 60th Ave S,358K,5/6/2014,Seattle,WA,1960,176,2,54,0,Inf,7,23,NA,38,21860,23.15,7537
47.505618,-122.256919,1,2,214900,98178,387,60190,2,1040,7027,0.622957717,10616 61st Ave S,226K,10/4/2013,Seattle,WA,1961,206,2,53,0,Inf,7,23,NA,38,21860,23.15,7537
47.50568,-122.374257,1,4,265000,98146,391,53346,5,2030,7260,0.565244552,10824 34th Ave SW,341K,5/30/2014,Seattle,WA,1960,130,0,54,0,Inf,8,19,5,38.3,25574,20.58,9082
47.50573,-122.269809,1,3,189000,98178,413,60190,2,1080,6825,0.898248676,10612 51st Ave S,192K,4/25/2014,Seattle,WA,1940,175,2,74,0,Inf,2,15,NA,38,21860,23.15,7537
47.505832,-122.250586,2,3,345000,98178,349,60190,2,2360,8330,0.908573837,6702 S Bangor Ct,315K,5/23/2014,Seattle,WA,1968,146,1,46,0,Inf,7,23,NA,38,21860,23.15,7537
47.505887,-122.263296,1.75,5,188000,98178,401,60190,2,1830,4816,0.587236718,10603 56th Ave S,239K,7/1/2013,Seattle,WA,1953,102,4,61,0,Inf,7,23,NA,38,21860,23.15,7537
47.505904,-122.261552,2.5,4,315000,98178,397,60190,2,2480,7492,0.547680598,5635 S Bangor St,362K,11/20/2012,Seattle,WA,1913,127,4,101,0,Inf,7,23,NA,38,21860,23.15,7537
47.505978,-122.255772,2,4,236000,98178,387,60190,2,1420,4791,0.628073626,6201 S Bangor St,245K,4/25/2013,Seattle,WA,1955,166,2,59,0,Inf,7,23,NA,38,21860,23.15,7537
47.505991,-122.253824,1,2,199900,98178,375,60190,2,990,6800,0.716027409,10614 Renton Ave S,200K,10/17/2013,Seattle,WA,1952,201,2,62,0,Inf,7,23,NA,38,21860,23.15,7537
47.506003,-122.384003,2,3,720000,98146,349,53346,1,3330,7200,0.624859794,10835 41st Ave SW,785K,5/20/2014,Seattle,WA,1947,216,0,67,0,Inf,8,19,5,38.3,25574,20.58,9082
47.506045,-122.254654,4,3,238000,98178,381,60190,2,1760,6534,0.670908576,10601 Renton Ave S,268K,11/29/2012,Seattle,WA,1972,135,2,42,0,Inf,7,23,NA,38,21860,23.15,7537
47.506146,-122.24957,1.75,3,239000,98178,348,60190,2,1610,8640,0.945481213,6711 S Bangor St,259K,9/30/2013,Seattle,WA,1955,148,1,59,0,Inf,8,18,1,38,21860,23.15,7537
47.50618,-122.375316,2.25,4,395000,98146,390,53346,5,1940,7200,0.477908057,3415 SW 108th St,466K,9/16/2013,Seattle,WA,1962,203,0,52,0,Inf,8,19,5,38.3,25574,20.58,9082
47.506248,-122.377984,1,3,308000,98146,391,53346,3,1550,6254,0.419400586,10805 36th Ave SW,336K,9/19/2014,Seattle,WA,1948,198,0,66,0,Inf,8,19,5,38.3,25574,20.58,9082
47.506276,-122.384333,3.25,4,878500,98146,350,53346,1,3450,8092,0.621739369,10725 Marine View Dr SW,1.06M,11/5/2013,Seattle,WA,1988,254,0,26,0,Inf,8,19,5,38.3,25574,20.58,9082
47.506281,-122.259745,1.5,3,255000,98178,398,60190,3,1340,6570,0.49833239,5730 S Bangor St,230K,8/27/2013,Seattle,WA,1955,190,4,59,0,Inf,7,23,NA,38,21860,23.15,7537
47.506295,-122.38495,2.75,5,675000,98146,348,53346,1,2740,6360,0.655575394,10721 Marine View Dr SW,702K,6/30/2014,Seattle,WA,1953,246,0,61,0,Inf,8,19,5,38.3,25574,20.58,9082
47.506345,-122.258928,2.5,3,305000,98178,398,60190,3,3050,7840,0.499699998,5910 S Bangor St,341K,2/20/2013,Seattle,WA,1975,100,4,39,0,Inf,7,23,NA,38,21860,23.15,7537
47.506362,-122.265239,1.5,3,164808,98178,416,60190,2,1250,5227,0.615364613,5352 S Bangor St,177K,8/11/2014,Seattle,WA,1980,131,4,34,0,Inf,7,23,NA,38,21860,23.15,7537
47.506409,-122.255729,1,3,215000,98178,387,60190,3,900,5250,0.589996239,10464 62nd Ave S,211K,2/14/2014,Seattle,WA,1954,238,3,60,0,Inf,7,23,NA,38,21860,23.15,7537
47.506474,-122.261627,1,2,329000,98178,404,60190,3,1810,7200,0.486625798,10461 57th Ave S,322K,3/11/2013,Seattle,WA,1920,181,4,94,0,Inf,7,23,NA,38,21860,23.15,7537
47.506537,-122.253246,2,4,255000,98178,385,60190,2,1400,5662,0.704197749,10454 64th Ave S,247K,11/22/2013,Seattle,WA,1942,182,2,72,0,Inf,7,23,NA,38,21860,23.15,7537
